dataset_name,wasm_mode,Runtime (ms)_count,Runtime (ms)_mean,Runtime (ms)_median,Runtime (ms)_std,Runtime (ms)_q25,Runtime (ms)_q75,Memory (MB)_mean,Memory (MB)_median,Memory (MB)_std,Quality (%)_mean,Quality (%)_median,Quality (%)_std,FPS_mean,FPS_median,FPS_std,Latency (ms)_mean,Latency (ms)_median,Latency (ms)_std,Latency (ms)_q25,Latency (ms)_q75
"Iris Dataset (150 points, 4D)",matrix,10,2300.330000000447,2296.39999999851,12.980502472187904,2290.4250000044703,2310.4250000026072,4.905491828918457,1.721755027770996,5.514380070000384,0.9882023658639628,0.9880354879594423,0.0011366965189200677,60.00090798623758,60.0,0.01427060599251454,7.443636363744735,7.863636363636363,2.72768616391266,7.638636364347555,8.53636363622817
"Iris Dataset (150 points, 4D)",nn,10,2324.670000000298,2322.849999997765,24.988799713367733,2308.3750000037253,2334.0750000011176,5.107582855224609,3.1613025665283203,4.32295097123753,0.9878487536966624,0.9876784959864808,0.0009782009180573717,59.994169994737874,59.9940011998941,0.012149716753801698,9.012727272781458,8.768181818114087,1.0575297375171286,8.297727273269132,9.45681818202138
"Iris Dataset (150 points, 4D)",opt,10,637.4000000007451,602.1999999992549,113.25140175813874,597.1500000040978,604.8499999996275,0.05282735824584957,0.0563635826110839,0.06092462323646104,0.9861909590198563,0.9861026615969581,0.0012733750808366208,0.0,0.0,0.0,8.392727272754366,7.949999999593604,1.6267326003437834,7.704545454206792,8.095454546030272
"Iris Dataset (150 points, 4D)",tree,10,2298.760000000149,2297.75,8.238014863685294,2292.125,2303.7249999996275,1.7601140975952148,0.06934642791748045,3.2744698124933524,0.9884947190536544,0.9886839881706802,0.001089909177657523,59.994779912197785,59.994000599850615,0.012671152346881636,8.393636363473806,8.449999999932267,0.5029581913502849,7.959090908650648,8.797727272591807
"MNIST-like (1K points, 784D)",all,10,3901.310000000894,3855.85000000149,102.61031407902667,3821.5999999996275,4007.925000000745,29.67531108856201,29.319737434387207,4.388543366365376,0.5697263202581084,0.5688182628629649,0.005491712578843442,37.53471798476741,37.85503184113324,1.711814557044879,108.43181818147953,106.90454545447773,5.622769938429341,105.4613636357879,112.19090909070592
"MNIST-like (1K points, 784D)",dist,10,4604.339999999851,4576.949999999255,90.18084546677382,4546.275000002235,4616.399999996647,14.270167827606201,16.166700839996338,6.813655620145048,0.6099575649516047,0.6098717524197657,0.005289734415025877,60.013555360310804,59.997000299925304,0.08024272817075791,117.18545454564419,115.968181818385,6.124474377990927,113.57727272690018,118.875000000508
"MNIST-like (1K points, 784D)",js,10,4624.110000000149,4602.050000000745,103.65070027169425,4557.5250000003725,4648.57499999553,14.946027088165284,17.75704002380371,7.313548860184653,0.6082467481745628,0.6069063083715402,0.004769334255035294,59.99105929427968,59.98112113190577,0.08054541940017187,115.83363636339254,114.62272727320139,8.880146809173139,110.55454545417294,115.54545454477721
"MNIST-like (1K points, 784D)",matrix,10,4632.959999997914,4585.10000000149,177.96102070129237,4524.324999995531,4746.17499999702,25.799580097198486,27.04504680633545,8.32045119215613,0.6072736033282391,0.6076056206486671,0.0037165932482404684,59.98351753109822,59.994000599850615,0.09167683285749552,113.72909090932119,112.66818181831727,7.965478547279223,109.49772727235474,115.33863636411047
"MNIST-like (1K points, 784D)",nn,10,4662.890000002086,4648.5,97.71146242336704,4618.875,4684.225000005215,37.121435546875,36.189927101135254,7.283285614330963,0.6082160893190695,0.6090177449482086,0.0043320633935714035,60.00538610649967,59.997000300148784,0.08701554628417002,114.96454545462673,115.75,4.164609850243803,111.21363636377183,118.2840909090909
"MNIST-like (1K points, 784D)",opt,10,3875.3999999970197,3872.5,58.9605706267844,3832.8499999977653,3923.7999999970198,1.5885671615600585,0.9623069763183593,2.20145160028108,0.5648172270334523,0.5654442604856512,0.004395685189811288,38.497288094352015,38.14040395540517,1.1898088209595936,112.13363636325705,112.39090909063816,3.4738087322405944,110.92499999905175,112.74545454504815
"MNIST-like (1K points, 784D)",tree,10,4613.310000000149,4598.0,113.82518223527536,4529.600000003353,4705.550000000745,44.639999294281004,45.1431303024292,6.488891763336206,0.6081165393105791,0.6080670742061471,0.004292748342990028,60.00123698122915,59.98800479812543,0.07135831426845908,112.22090909088199,108.31363636390728,8.974366157580647,106.3090909087861,116.00454545478253
Medium Clustered (600 points),all,10,2441.6,2419.89999999851,82.6823775403353,2384.8000000026077,2488.9749999996275,0.7814336776733397,-0.4226837158203125,8.77258523322467,0.9490229292060762,0.9490032960733734,0.0009466918286980678,47.8184906050106,48.233262522649966,1.295364351844119,20.956666666716337,20.70333333313465,1.5229965586049534,19.771666667486226,22.268333332737285
Medium Clustered (600 points),dist,10,3714.699999999255,3709.800000000745,60.82134128389081,3674.125,3749.074999999255,17.25576524734497,18.417503833770752,4.377069184199582,0.9510151189452566,0.9513670344893475,0.0009338159448947082,53.026904521308644,53.02254920396814,0.8196675422505838,22.86333333308498,23.016666666418313,1.668663248629056,21.57166666649282,23.833333332960805
Medium Clustered (600 points),js,10,3729.3299999989567,3719.449999999255,57.877112152878254,3685.22500000149,3763.3249999973928,17.91617317199707,18.45008373260498,7.142501776471548,0.9508976306487055,0.950788310881819,0.0014454157129385435,52.258481633585475,52.57208140369846,1.1605759482955396,22.68600000023842,22.403333333879708,0.9902958779870134,22.059999999900658,23.508333333705863
Medium Clustered (600 points),matrix,10,3732.24999999851,3735.39999999851,29.860202054053723,3714.1499999966472,3750.199999999255,15.655873584747315,16.78670835494995,6.957432446709661,0.9508811263972484,0.9511401308875513,0.0016644289171239422,52.19814782356076,53.04326296586022,1.4087384055777157,22.50133333320419,22.43333333308498,0.7992823940293948,22.16666666679084,23.129999999453624
Medium Clustered (600 points),nn,10,3732.589999998361,3714.64999999851,100.94228769115482,3663.8499999996275,3796.3249999973928,11.320992565155029,8.314074039459229,7.332244646258451,0.9508585315754277,0.9509895385497277,0.0012773448293918205,52.68284359798771,53.0,1.068905061140942,23.899333333323398,23.356666667262715,2.3113706050964518,23.111666666343808,23.82833333350718
Medium Clustered (600 points),opt,10,2429.429999998957,2421.54999999702,59.1456216107464,2373.9249999988824,2479.6750000026072,11.495712184906006,12.098218441009521,5.977582165908659,0.9482564010700297,0.9480064727237987,0.0012673157195621759,46.99369080507232,47.11722054297675,1.1066575761176065,24.22999999990066,24.113333332786958,1.8029502572078673,22.96499999985099,24.95500000019868
Medium Clustered (600 points),tree,10,3732.120000001788,3715.050000000745,49.63531001204667,3695.2250000033523,3767.925000004471,17.246976852416992,20.235880374908447,8.445831148656199,0.9503373220598071,0.9502663131747396,0.0011603452521958743,52.72601820803768,52.99205132464313,0.6493493610749862,23.5806666666766,23.553333332886297,1.209323655418982,22.843333334103228,24.41833333335817
Small Random (80 points),all,10,776.060000000149,757.1500000022352,63.71813277581411,723.9000000003725,806.8999999985099,-0.6898974418640138,-6.2474799156188965,9.675413631298285,0.8411856368563686,0.8391768292682926,0.012301354026464735,0.0,0.0,0.0,20.965333333263793,19.59999999950329,2.157535860164432,19.49999999937912,22.2049999995778
Small Random (80 points),dist,10,2954.000000000745,2961.64999999851,45.00780179363508,2936.35000000149,2970.02499999851,11.779920387268067,13.55974292755127,4.671911061645425,0.8695223577235772,0.8686144986449864,0.01415850076876255,48.297634302266694,48.20225283410341,0.9010267340637116,20.788666666746142,21.196666667113703,1.0947599094279514,20.469999999552964,21.290000000223515
Small Random (80 points),js,10,3243.120000000298,3278.900000002235,195.55754367677008,3058.0749999973928,3412.1249999981374,6.149317455291748,9.426850318908691,8.374858226215231,0.8594292005420054,0.8617886178861789,0.01364626640985551,47.51248102466601,47.99760024011903,1.1022469374845447,22.714666666686533,22.636666666716337,1.5144140375840494,21.720000000298022,23.72500000037253
Small Random (80 points),matrix,10,2960.569999999553,2920.550000000745,119.78162584182016,2918.349999995902,2940.099999997765,9.768667697906494,10.904091835021973,5.290057806554362,0.8722018970189701,0.874559620596206,0.011820877538043766,48.41632949415937,49.188392015461204,2.029105617549704,20.335333333065112,20.283333333084983,1.3355021251857657,19.52666666644315,20.589999999602632
Small Random (80 points),nn,10,3008.35,2941.699999999255,186.0682745067057,2905.650000002235,2957.2000000011176,8.15717191696167,10.2431001663208,7.553520844663676,0.863360433604336,0.8636602303523035,0.01235390561481527,48.43660349516751,48.995100489878006,1.5670346748295632,19.87466666688522,19.69333333273729,2.0846524415607677,18.51666666716337,20.163333333532016
Small Random (80 points),opt,10,735.230000000447,733.8500000014901,30.90757009070389,716.3499999996275,739.7750000022352,1.7384191513061524,1.4510259628295898,0.7812948513266418,0.8377405149051491,0.8395071138211383,0.00970111673508578,0.0,0.0,0.0,20.35133333325386,20.18000000019868,1.2425900867316562,19.728333332886297,20.554999999701977
Small Random (80 points),tree,10,2943.979999998212,2950.8499999940395,43.1111431855413,2915.7249999977653,2973.6000000033528,8.233423233032227,8.10808277130127,3.9336540708779464,0.8582232384823849,0.859984756097561,0.012321588252749281,48.67153490844133,48.595120816325036,0.9309943246764464,20.245333333561817,20.24333333323399,1.096025592243201,19.54166666654249,20.60000000037253
"Swiss Roll (600 points, 3D manifold)",all,10,1739.4200000017881,1683.4500000029802,173.46149620716366,1647.949999999255,1705.3000000026075,12.081443500518798,8.739266395568848,5.145716383955554,0.9942198576478456,0.9942759386643737,0.0004042675484333016,48.64243072028085,47.85441133332394,3.2829575084640763,16.52818181839856,15.640909090976823,3.6502423282740426,15.118181817910887,15.97045454586094
"Swiss Roll (600 points, 3D manifold)",dist,10,2999.619999998808,3021.6999999955297,78.227585358345,2918.375,3068.6749999970198,17.975657844543456,17.809569835662842,2.9049335839482104,0.9939396675265119,0.9939843078245916,0.0004951588140335181,59.99085425102595,59.9940011998941,0.02611671129658845,19.402727272496982,19.12272727286274,0.9469980606523577,18.854545453563333,19.806818181310188
"Swiss Roll (600 points, 3D manifold)",js,10,2943.869999997318,2932.6999999955297,46.62493491080173,2915.450000001117,2952.5749999955297,17.939806175231933,18.13160800933838,0.9466117104773318,0.993898586032292,0.993884350816853,0.0005140055592558757,59.98552667677701,59.97001499250375,0.037896076083632456,19.779090909185733,19.79090909084136,1.0211001646271194,18.92727272771299,20.14545454491268
"Swiss Roll (600 points, 3D manifold)",matrix,10,2928.94999999851,2893.25,80.39457209293036,2871.9249999988824,2991.7249999977653,11.290907955169677,9.847253799438477,3.523851881018674,0.9939629072322538,0.9940219260533105,0.00047011899558890857,60.0050444540469,60.00196734207682,0.0230469178222361,16.220000000230293,15.986363636160437,1.256927909143791,15.265909091484819,16.98636363616044
"Swiss Roll (600 points, 3D manifold)",nn,10,2977.509999999404,2967.14999999851,57.22828457680154,2939.2999999970198,3013.124999998138,26.24060688018799,27.088749885559082,3.664858108731856,0.994178322346422,0.9941335865099838,0.00035775233194018516,59.99409450708835,59.99400119967068,0.040887000086634796,19.544545454464174,19.500000000338666,0.8516763570443975,18.988636364483018,19.82045454531908
"Swiss Roll (600 points, 3D manifold)",opt,10,1706.019999999553,1693.6500000022352,39.42119565082926,1683.8250000011176,1709.8999999985099,15.142165565490723,15.236739158630371,0.9043528901048028,0.9941170344893475,0.9942164660361135,0.0004892075112055972,45.50953809970862,45.731596869765966,0.900216614153914,19.424545454775746,19.499999999661334,0.5985450679752449,19.163636363534767,19.597727273506194
"Swiss Roll (600 points, 3D manifold)",tree,10,2906.890000000596,2907.699999999255,17.082964224809327,2899.3499999996275,2921.500000003725,16.872011280059816,18.01315975189209,3.837618250948741,0.9940192032100889,0.9939969666571129,0.0004529683333725644,60.009593052905,60.00491883915396,0.02733244125355316,18.574545454572547,18.640909091315486,0.7915740846965635,18.05909090963277,19.004545454613183
