dataset_name,wasm_mode,median_runtime,median_runtime_ci_low,median_runtime_ci_high,speedup_ci_low,speedup_ci_high,speedup_point
"MNIST-like (1K points, 784D)",all,3855.85000000149,3819.5,4014.5,1.1439905343133006,1.214441956146011,1.1910603368904316
"MNIST-like (1K points, 784D)",dist,4576.949999999255,4542.80000000447,4663.48125000298,0.9858589675530199,1.02348190576516,1.0052094709714503
"MNIST-like (1K points, 784D)",js,4602.050000000745,4549.0,4685.199999999255,0.980041987952049,1.017935649947016,1.0
"MNIST-like (1K points, 784D)",matrix,4585.10000000149,4514.59999999404,4794.0,0.9546721042658198,1.0263379720688643,1.0036858519985397
"MNIST-like (1K points, 784D)",nn,4648.5,4613.4000000059605,4691.600000008941,0.9758556703248723,1.0080213897620667,0.9899011626040676
"MNIST-like (1K points, 784D)",opt,3872.5,3827.79999999702,3934.5,1.165921988548065,1.2119802494790877,1.1884054228538385
"MNIST-like (1K points, 784D)",tree,4598.0,4519.60000000149,4725.10000000149,0.9719582654335447,1.0232377918138096,1.0008808177470085
Medium Clustered (600 points),all,2419.89999999851,2381.14999999851,2495.0,1.4846893787563207,1.5767866215022832,1.5358847753492775
Medium Clustered (600 points),dist,3709.800000000745,3663.449999999255,3758.5,0.9859485401948256,1.0235766274399047,1.0037369016336335
Medium Clustered (600 points),js,3719.449999999255,3677.599999997765,3781.89999999851,0.9798262999005314,1.020503084954306,1.0
Medium Clustered (600 points),matrix,3735.39999999851,3702.9499999955297,3752.5,0.9832879491703367,1.0134523139596003,0.9962550852712972
Medium Clustered (600 points),nn,3714.64999999851,3656.0,3820.29999999702,0.9696358924691542,1.0252324945295406,1.002114990838927
Medium Clustered (600 points),opt,2421.54999999702,2371.39999999851,2488.20000000298,1.4920809678155447,1.5806063928490999,1.537181508839572
Medium Clustered (600 points),tree,3715.050000000745,3692.20000000298,3770.900000005961,0.9806147073619493,1.0177249509246697,0.9994422236669241
Small Random (80 points),all,757.1500000022352,722.6000000014901,815.8999999985099,3.891154695399822,4.684734817277695,4.33193847104566
Small Random (80 points),dist,2961.64999999851,2933.20000000298,2984.150000002235,1.0114781283808654,1.157427523933802,1.1102683484318534
Small Random (80 points),js,3278.900000002235,2995.79999999702,3414.6999999955297,0.9136301103730096,1.0988049936603728,1.0
Small Random (80 points),matrix,2920.550000000745,2913.25,2945.9024999985472,1.0256076686056215,1.1693003030248168,1.1228725043664813
Small Random (80 points),nn,2941.699999999255,2900.60000000149,3135.0424999985835,1.0157222014481462,1.1673392886101766,1.1181867981357851
Small Random (80 points),opt,733.8500000014901,714.8999999985099,742.4499999992549,4.073978377630992,4.701913809715678,4.500207354169147
Small Random (80 points),tree,2950.8499999940395,2912.107499997039,2976.9000000059605,1.0152328989962456,1.1643842633720205,1.1144904254494645
"Swiss Roll (600 points, 3D manifold)",all,1683.4500000029802,1643.5,1769.8500000052154,1.663671662313083,1.7934895041057286,1.7426118981808616
"Swiss Roll (600 points, 3D manifold)",dist,3021.6999999955297,2916.5,3072.1999999955297,0.9516474854031272,1.010664836331504,0.9731270629808386
"Swiss Roll (600 points, 3D manifold)",js,2932.6999999955297,2911.9999999962747,2963.699999999255,0.9867774199016782,1.0123042122214638,1.0
"Swiss Roll (600 points, 3D manifold)",matrix,2893.25,2870.349999997765,3020.79999999702,0.9708355402537151,1.0274463422265394,1.0142918862862749
"Swiss Roll (600 points, 3D manifold)",nn,2967.14999999851,2926.550000000745,3031.5000000037253,0.9666485319069816,1.0048992923239426,0.9883895320415221
"Swiss Roll (600 points, 3D manifold)",opt,1693.6500000022352,1683.1862500028685,1713.2999999970198,1.7064087175382507,1.752409242959008,1.7315856286668787
"Swiss Roll (600 points, 3D manifold)",tree,2907.699999999255,2895.5,2922.20000000298,0.9987649137373469,1.019014035815544,1.0085250616238775
